Vaccine/Exemption,Dose,Geography Type,Geography,School Year,Estimate (%),Population Size,Percent Surveyed,Footnotes,Number of Exemptions,Survey Type
MMR,,States,Alabama,2009-10,94.0,75358,100,≥. *. **,,Census
MMR,,States,Alaska,2009-10,NA,9641,76.4,,,Voluntary response
MMR,,States,Arizona,2009-10,95.0,89287,93.9,,,Census
MMR,,States,Arkansas,2009-10,98.3,34733,100,*,,Census
MMR,,States,California,2009-10,93.6,507191,100,*,,Census
MMR,,States,Colorado,2009-10,NA,,,,,Not conducted
MMR,,States,Connecticut,2009-10,98.5,46158,100,*,,Census
MMR,,States,Delaware,2009-10,89.7,11327,9.2,,,Random sample
MMR,,States,District of Columbia,2009-10,NA,6092,100,*,,Census
MMR,,States,Florida,2009-10,91.3,218630,100,≥. * .§,,Census
MMR,,States,Georgia,2009-10,99.6,141949,1.2,,,Random sample
MMR,,States,Hawaii,2009-10,NA,18427,6.4,,,Random sample
MMR,,States,Idaho,2009-10,87.0,22624,100,*,,Census
MMR,,States,Illinois,2009-10,94.5,165845,100,,,Census
MMR,,States,Indiana,2009-10,92.8,84390,94.7,,,Census
MMR,,States,Iowa,2009-10,84.5,42698,100,≥,,Census
MMR,,States,Kansas,2009-10,90.9,39073,39.1,†,,Stratified 1-stage sample  (Public);  Census (Private)
MMR,,States,Kentucky,2009-10,92.2,56526,92.9,,,Census
MMR,,States,Louisiana,2009-10,96.9,53846,100,*,,Census
MMR,,States,Maine,2009-10,95.5,14162,75.3,,,Voluntary response
MMR,,States,Maryland,2009-10,98.9,75061,75,,,Voluntary response
MMR,,States,Massachusetts,2009-10,93.0,74476,100,*,,Census
MMR,,States,Michigan,2009-10,95.3,129810,100,*,,Census
MMR,,States,Minnesota,2009-10,95.1,70653,100,*,,Census
MMR,,States,Mississippi,2009-10,99.7,46922,100,≥. *,,Census
MMR,,States,Missouri,2009-10,97.3,75958,3,,,Random sample
MMR,,States,Montana,2009-10,95.5,12335,98.8,,,Census
MMR,,States,Nebraska,2009-10,97.5,29607,96.4,,,Census
MMR,,States,Nevada,2009-10,94.5,35209,5.6,,,Random sample
MMR,,States,New Hampshire,2009-10,NA,,,,,Not conducted
MMR,,States,New Jersey,2009-10,NA,118347,95.1,,,Census
MMR,,States,New Mexico,2009-10,97.6,26318,2.2,,,Random sample
MMR,,States,New York,2009-10,97.6,229273,100,*,,Census
MMR,,States,North Carolina,2009-10,NA,116087,96,,,Census
