reporting_area,pox_cases,pox_deaths,case_year,Vaccine/Exemption,Dose,Geography Type,geography,School Year,Estimate (%),Population Size,Percent Surveyed,Number of Exemptions,Survey Type,Year
Alabama,107,0,2016,"Varicella, unknown disease history",1 Dose,States,Alabama,2016-17,93.8,58394.00,100,,Census,2016
Alabama,107,0,2016,"Varicella, unknown disease history",1 Dose,States,Alabama,2016-17,93.8,58394.00,100,,Census,2016
Alabama,107,0,2016,"Varicella, unknown disease history",1 Dose,States,Alabama,2016-17,93.8,58394.00,100,,Census,2016
Alabama,107,0,2016,"Varicella, unknown disease history",1 Dose,States,Alabama,2016-17,93.8,58394.00,100,,Census,2016
Arizona,279,0,2016,"Varicella, unknown disease history",1 Dose,States,Arizona,2016-17,96.7,83627.00,100,,Census,2016
Arizona,279,0,2016,"Varicella, unknown disease history",1 Dose,States,Arizona,2016-17,96.7,83627.00,100,,Census,2016
Arizona,279,0,2016,"Varicella, unknown disease history",1 Dose,States,Arizona,2016-17,96.7,83627.00,100,,Census,2016
Arizona,279,0,2016,"Varicella, unknown disease history",1 Dose,States,Arizona,2016-17,96.7,83627.00,100,,Census,2016
California,44,2,2016,"Varicella, unknown disease history",1 Dose,States,California,2016-17,98.5,575305.00,97.8,,Census,2016
California,44,2,2016,"Varicella, unknown disease history",1 Dose,States,California,2016-17,98.5,575305.00,97.8,,Census,2016
California,44,2,2016,"Varicella, unknown disease history",1 Dose,States,California,2016-17,98.5,575305.00,97.8,,Census,2016
California,44,2,2016,"Varicella, unknown disease history",1 Dose,States,California,2016-17,98.5,575305.00,97.8,,Census,2016
Hawaii,35,0,2016,"Varicella, unknown disease history",1 Dose,States,Hawaii,2016-17,95.3,16325.00,6.7,,Stratified 2-stage cluster sample,2016
Hawaii,35,0,2016,"Varicella, unknown disease history",1 Dose,States,Hawaii,2016-17,95.3,16325.00,6.7,,Stratified 2-stage cluster sample,2016
Hawaii,35,0,2016,"Varicella, unknown disease history",1 Dose,States,Hawaii,2016-17,95.3,16325.00,6.7,,Stratified 2-stage cluster sample,2016
Hawaii,35,0,2016,"Varicella, unknown disease history",1 Dose,States,Hawaii,2016-17,95.3,16325.00,6.7,,Stratified 2-stage cluster sample,2016
Maine,228,0,2016,"Varicella, unknown disease history",1 Dose,States,Maine,2016-17,96.7,13834.00,90.1,,Voluntary response (public). census (private),2016
Maine,228,0,2016,"Varicella, unknown disease history",1 Dose,States,Maine,2016-17,96.7,13834.00,90.1,,Voluntary response (public). census (private),2016
Maine,228,0,2016,"Varicella, unknown disease history",1 Dose,States,Maine,2016-17,96.7,13834.00,90.1,,Voluntary response (public). census (private),2016
Maine,228,0,2016,"Varicella, unknown disease history",1 Dose,States,Maine,2016-17,96.7,13834.00,90.1,,Voluntary response (public). census (private),2016
New Jersey,446,0,2016,"Varicella, unknown disease history",1 Dose,States,New Jersey,2016-17,96.5,109577.00,100,,Census,2016
New Jersey,446,0,2016,"Varicella, unknown disease history",1 Dose,States,New Jersey,2016-17,96.5,109577.00,100,,Census,2016
New Jersey,446,0,2016,"Varicella, unknown disease history",1 Dose,States,New Jersey,2016-17,96.5,109577.00,100,,Census,2016
New Jersey,446,0,2016,"Varicella, unknown disease history",1 Dose,States,New Jersey,2016-17,96.5,109577.00,100,,Census,2016
Oklahoma,N,N,2016,"Varicella, unknown disease history",1 Dose,States,Oklahoma,2016-17,,52184.00,0,,Census,2016
Oklahoma,N,N,2016,"Varicella, unknown disease history",1 Dose,States,Oklahoma,2016-17,,52184.00,0,,Census,2016
Oklahoma,N,N,2016,"Varicella, unknown disease history",1 Dose,States,Oklahoma,2016-17,,52184.00,0,,Census,2016
Oklahoma,N,N,2016,"Varicella, unknown disease history",1 Dose,States,Oklahoma,2016-17,,52184.00,0,,Census,2016
Oregon,N,N,2016,"Varicella, unknown disease history",1 Dose,States,Oregon,2016-17,95,45705.00,100,,Census,2016
Oregon,N,N,2016,"Varicella, unknown disease history",1 Dose,States,Oregon,2016-17,95,45705.00,100,,Census,2016
Oregon,N,N,2016,"Varicella, unknown disease history",1 Dose,States,Oregon,2016-17,95,45705.00,100,,Census,2016
Oregon,N,N,2016,"Varicella, unknown disease history",1 Dose,States,Oregon,2016-17,95,45705.00,100,,Census,2016
United States,8953,3,2016,"Varicella, unknown disease history",1 Dose,National,United States,2016-17,97.5,,,,,2016
